source_id target_id weight
261 7125 7.7321
47 6908 10.5191
39 2606 2.1875
37 922 1.2295
26 2606 1.0502
184 7024 2.4637
1372 2418 1.3634
128 3723 1.4197
11150 15800 1.2074
465 2008 2.8367
39 23735 1.7617
1063 2467 1.5632
1237 7024 1.9382
1185 2008 1.4710
300 422 3.1142
392 2473 1.2730
813 2592 1.3840
724 735 1.1527
1601 7709 1.6502
39 13257 2.8316
10679 23735 2.3305
724 747 1.7586
3952 6514 1.7952
922 7125 8.0661
767 4195 1.1446
3392 60843 1.4351
1237 2592 1.2275
1707 14554 1.2268
237 806 1.8624
859 1601 1.0263
422 2008 3.6825
39 797 2.2175
4850 14730 1.2312
2509 22760 3.0491
2008 2009 6.2794
2065 618152 1.0787
2084 2509 3.8073
599334 61835 1.0011
20706 25413 1.6512
922 1200 4.3365
449 1380 1.8703
393 15918 1.4505
748 25116 1.3036
184 422 3.8736
797 2065 1.3376
145 5398 1.5777
106 184 1.7367
32 5009 1.0387
128 797 17.3926
797 2592 6.1423
859 4486 3.3320
465 9336 1.3013
39 803 1.1470
45 724 1.3839
221 236 4.3962
39 13258 1.7460
184 201 1.7286
400 1252 1.2670
94 6223 1.7716
523 5398 1.7308
221 1601 1.1940
767 2170 2.1365
221 915 1.0256
146 2513 3.6362
671 1237 15.0045
27 47 2.4958
2008 3703 2.1464
128 977 1.0315
146 7710 2.0852
261 7710 1.2703
696 1138 3.5815
1233 2553 1.3488
188 1237 3.6558
39 45 1.2866
48 724 1.7475
94 1200 2.8252
400 18845 1.2318
767 1200 1.9780
428 2482 1.6282
459241 821 1.9741
